,Player,Pos_x,Age_x,Tm_x,G_x,MP_x,FG%_x,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves,Rk,Pos_y,Age_y,Tm_y,G_y,GS,MP_y,FG,FGA,FG%_y,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0-3_attempts,3-10_attempts,10-16_attempts,16-3P_attempts,midrange_attempts,corner_3_attempts,0-3_made,3-10_made,10-16_made,16-3P_made,midrange_made,corner_3_made,EFG%_3P,PPS_0-3,PPS_3-10,PPS_10-16,PPS_16-3P,PPS_midrange,PPS_3P
289,Damion Lee,SG,28,GSW,57,1079,0.467,20.3,0.292,0.08,0.091,0.091,0.029,0.708,0.638,0.773,0.68,0.52,0.5,0.397,0.863,0.961,0.007,2,0.309,0.45,0,0,290,SG,28,GSW,57,1,1079,128,274,0.467,77,194,0.397,51,80,0.638,0.608,40,44,0.909,22,158,180,73,38,8,30,89,373,21.92,24.934,24.934,7.946000000000000,32.88,59.946,16.94416,16.95512,12.96568,3.9730000000000000,16.93868,26.9757,0.5955,1.546,1.36,1.04,1.0,1.0303333333333300,1.191
292,Kawhi Leonard,SF,29,LAC,52,1773,0.512,13.9,0.72,0.186,0.188,0.215,0.131,0.28,0.557,0.775,0.52,0.467,0.445,0.398,0.286,0.713,0.069,60,0.169,0.512,1,0,293,SF,29,LAC,52,52,1773,465,908,0.512,101,254,0.398,364,654,0.557,0.568,261,295,0.885,55,282,337,269,81,21,105,82,1292,168.888,170.704,195.22,118.94800000000000,314.168,42.926,130.8882,88.76608,91.16774000000000,52.93186000000000,144.0996,21.978112000000000,0.597,1.55,1.04,0.934,0.89,0.9173410404624280,1.194
294,Caris LeVert,SG,26,TOT,47,1486,0.441,13.4,0.683,0.224,0.206,0.189,0.064,0.317,0.495,0.659,0.345,0.513,0.346,0.326,0.375,0.56,0.021,17,0.143,0.297,1,0,295,SG,26,TOT,47,39,1486,359,814,0.441,84,258,0.326,275,556,0.495,0.493,146,180,0.811,33,181,214,245,66,30,102,105,948,182.336,167.684,153.846,52.096000000000000,205.942,36.894,120.15942400000000,57.85098000000000,78.922998,18.025216,96.94821400000000,10.957518000000000,0.489,1.318,0.69,1.026,0.692,0.9415098814229250,0.978
295,Kira Lewis Jr.,PG,19,NOP,54,904,0.386,12.7,0.644,0.267,0.252,0.089,0.036,0.356,0.415,0.611,0.318,0.2,0.167,0.333,0.378,0.8,0.012,4,0.183,0.273,1,0,296,PG,19,NOP,54,0,904,130,337,0.386,40,120,0.333,90,217,0.415,0.445,43,51,0.843,12,59,71,124,38,10,34,88,343,89.979,84.924,29.993,12.132,42.125,21.96,54.977169000000000,27.005832,5.9986,2.026044,8.024644,5.995080000000000,0.49950000000000000,1.222,0.636,0.4,0.334,0.380992,0.9990000000000000
296,Damian Lillard,PG,30,POR,67,2398,0.451,17.9,0.472,0.238,0.096,0.044,0.094,0.528,0.519,0.631,0.359,0.441,0.437,0.391,0.177,0.393,0.015,19,0.038,0.185,4,0,297,PG,30,POR,67,67,2398,602,1334,0.451,275,704,0.391,327,630,0.519,0.554,449,484,0.928,32,251,283,505,62,17,203,102,1928,317.49200000000000,128.064,58.696,125.396,184.09200000000000,26.752,200.33745200000000,45.974976,25.884936,54.798052,80.682988,4.94912,0.5865,1.262,0.718,0.882,0.874,0.8765507246376810,1.173
297,Nassir Little,PF,20,POR,48,640,0.467,15.6,0.521,0.269,0.114,0.054,0.084,0.479,0.575,0.689,0.526,0.444,0.357,0.35,0.56,0.821,0.09,13,0.163,0.385,0,0,298,PF,20,POR,48,2,640,78,167,0.467,28,80,0.35,50,87,0.575,0.551,36,45,0.8,32,96,128,23,5,13,18,51,220,44.923,19.038,9.018,14.028,23.046,13.040000000000000,30.951947,10.013988000000000,4.003992,5.007996,9.011988,5.0204,0.5250000000000000,1.378,1.052,0.888,0.714,0.7820869565217390,1.0500000000000000
299,Brook Lopez,C,32,MIL,70,1902,0.503,14.2,0.561,0.263,0.211,0.064,0.023,0.439,0.632,0.774,0.511,0.488,0.533,0.338,0.692,0.958,0.111,66,0.27,0.408,0,0,300,C,32,MIL,70,70,1902,322,640,0.503,95,281,0.338,227,359,0.632,0.577,120,142,0.845,104,243,347,50,40,103,64,149,859,168.32,135.04,40.96,14.720000000000000,55.68,75.87,130.27968000000000,69.00544,19.98848,7.845760000000000,27.834240000000000,30.95496,0.507,1.548,1.022,0.976,1.066,0.9997931034482760,1.014
302,Kevin Love,PF,32,CLE,25,622,0.409,19.4,0.381,0.115,0.123,0.079,0.063,0.619,0.479,0.621,0.484,0.4,0.313,0.365,0.609,0.895,0.0,0,0.103,0.438,0,0,303,PF,32,CLE,25,25,622,103,252,0.409,57,156,0.365,46,96,0.479,0.522,42,51,0.824,17,169,186,63,16,2,38,26,305,28.98,30.996,19.908,15.876,35.784,16.068000000000000,17.99658,15.002064000000000,7.9632000000000000,4.969188,12.932388,7.037784000000000,0.5475,1.242,0.968,0.8,0.626,0.7228028169014090,1.095
303,Kyle Lowry,PG,34,TOR,46,1601,0.436,18.5,0.445,0.149,0.129,0.074,0.092,0.555,0.487,0.685,0.364,0.409,0.4,0.396,0.349,0.687,0.0,0,0.082,0.481,1,0,304,PG,34,TOR,46,46,1601,260,596,0.436,131,331,0.396,129,265,0.487,0.546,140,160,0.875,35,212,247,338,45,14,126,143,791,88.804,76.884,44.104,54.832,98.936,27.142,60.830740000000000,27.985776000000000,18.038536000000000,21.9328,39.971336000000000,13.055302,0.5940000000000000,1.37,0.728,0.818,0.8,0.808024096385542,1.1880000000000000
304,Timoth,SF,25,BRK,58,1050,0.365,18.2,0.329,0.208,0.062,0.028,0.031,0.671,0.47,0.568,0.318,0.1,0.455,0.314,0.691,0.987,0.014,3,0.351,0.31,0,0,305,SF,25,BRK,58,7,1050,130,356,0.365,75,239,0.314,55,117,0.47,0.471,35,43,0.814,28,101,129,69,33,6,43,99,370,74.048,22.072,9.968,11.036,21.004000000000000,83.889,42.059264,7.018896,0.9968,5.02138,6.01818,26.005590000000000,0.471,1.136,0.636,0.2,0.91,0.5730508474576270,0.942
